runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,13233,23,73105,19989,106454,1584398336,1202911752,381486584,35887408740,29482963438,6404445302,6403698992,0,6785931886,363,6107,6107,0,6471
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,4520,16,72828,19448,96834,1610612736,1152015352,458597384,35887408740,29482462460,6404946280,6403499552,0,6863543664,437,6108,6106,0,6545
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,3751,13,62022,19030,84936,1604845568,1152262592,452582976,35887408740,29465112486,6422296254,6420412608,0,6874879230,431,6124,6122,0,6556
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,4189,8,60437,18032,82686,1613234176,1191775368,421458808,71028965372,64623891360,6405074012,6403555544,0,6826532820,401,6108,6106,0,6510
5,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,4426,15,65964,16107,86669,1625292800,1223672080,401620720,40280103319,33875028208,6405075111,6403407752,0,6806719583,383,6108,6106,0,6491
6,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,4312,9,65617,17260,87302,1630535680,1246235888,384299792,44672797898,38250710719,6422087179,6420502664,0,6806386971,366,6124,6123,0,6491
7,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,5566,18,66592,16965,89327,1642070016,1065208960,576861056,57850881635,51445236197,6405645438,6403750232,0,6982510606,550,6108,6107,0,6659
8,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,5532,11,58642,18673,82891,1644691456,1048142824,596548632,62243576214,55838380138,6405196076,6403477160,0,7001744708,568,6108,6106,0,6677
9,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,6634,11,64747,17317,88819,1644691456,1035118800,609572656,53458187056,47052865936,6405321120,6403715336,0,7014893776,581,6108,6107,0,6689
10,city-num-interaction,Continuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,5645,19,60008,17920,83629,1645740032,997311280,648428752,66636270793,60197246287,6439024506,6437211912,0,7087494914,618,6140,6139,0,6759
