topK,totalExecutionTime
1,19162
1,15121
1,11576
1,11157
1,10989
1,11625
1,11670
1,12383
1,11586
1,11917
5,15066
5,41019
5,35461
5,33622
5,32095
5,32789
5,33628
5,33035
5,33646
5,34211
10,40355
10,38864
10,45152
10,39075
10,38289
10,39345
10,38008
10,38905
10,39055
10,38285
25,50044
25,50242
25,59824
25,48423
25,52090
25,52040
25,48910
25,58855
25,50295
25,48306
50,63432
50,74746
50,50949
50,43845
50,55329
50,43839
50,42872
50,44176
50,38985
50,37555
100,56262
100,51463
100,50194
100,59267
100,60969
100,47194
100,47025
100,48898
100,49236
100,47709
